BED_ID,BED_TYPE,BED_STATUS,PATIENT_ID
1001,GENERAL BED,VACANT,NULL
1002,GENERAL BED,VACANT,NULL
1003,GENERAL BED,VACANT,NULL
1004,GENERAL BED,VACANT,NULL
1005,GENERAL BED,VACANT,NULL
1006,GENERAL BED,VACANT,NULL
1007,GENERAL BED,VACANT,NULL
1008,GENERAL BED,VACANT,NULL
1009,GENERAL BED,VACANT,NULL
1010,GENERAL BED,VACANT,NULL
1011,GENERAL BED,VACANT,NULL
1012,GENERAL BED,VACANT,NULL
1013,GENERAL BED,VACANT,NULL
1014,GENERAL BED,VACANT,NULL
1015,GENERAL BED,VACANT,NULL
2001,PAYING BED,VACANT,NULL
2002,PAYING BED,VACANT,NULL
2003,PAYING BED,VACANT,NULL
2004,PAYING BED,VACANT,NULL
2005,PAYING BED,VACANT,NULL
2006,PAYING BED,VACANT,NULL
2007,PAYING BED,VACANT,NULL
2008,PAYING BED,VACANT,NULL
2009,PAYING BED,VACANT,NULL
2010,PAYING BED,VACANT,NULL
2011,PAYING BED,VACANT,NULL
2012,PAYING BED,VACANT,NULL
2013,PAYING BED,VACANT,NULL
2014,PAYING BED,VACANT,NULL
2015,PAYING BED,VACANT,NULL
2016,PAYING BED,VACANT,NULL
2017,PAYING BED,VACANT,NULL
2018,PAYING BED,VACANT,NULL
2019,PAYING BED,VACANT,NULL
2020,PAYING BED,VACANT,NULL
2021,PAYING BED,VACANT,NULL
2022,PAYING BED,VACANT,NULL
2023,PAYING BED,VACANT,NULL
2024,PAYING BED,VACANT,NULL
2025,PAYING BED,VACANT,NULL
3001,CABIN BED,VACANT,NULL
3002,CABIN BED,VACANT,NULL
3003,CABIN BED,VACANT,NULL
3004,CABIN BED,VACANT,NULL
3005,CABIN BED,VACANT,NULL
4001,ICU BED,VACANT,NULL
4002,ICU BED,VACANT,NULL
4003,ICU BED,VACANT,NULL
4004,ICU BED,VACANT,NULL
4005,ICU BED,VACANT,NULL
4006,ICU BED,VACANT,NULL
4007,ICU BED,VACANT,NULL
4008,ICU BED,VACANT,NULL
4009,ICU BED,VACANT,NULL
4010,ICU BED,VACANT,NULL
5001,COVID BED,VACANT,NULL
5002,COVID BED,VACANT,NULL
5003,COVID BED,VACANT,NULL
5004,COVID BED,VACANT,NULL
5005,COVID BED,VACANT,NULL
5006,COVID BED,VACANT,NULL
5007,COVID BED,VACANT,NULL
5008,COVID BED,VACANT,NULL
5009,COVID BED,VACANT,NULL
5010,COVID BED,VACANT,NULL
5011,COVID BED,VACANT,NULL
5012,COVID BED,VACANT,NULL
5013,COVID BED,VACANT,NULL
5014,COVID BED,VACANT,NULL
5015,COVID BED,VACANT,NULL
